,journal
10.1103/PhysRevA.1.1325,PRA
10.1103/PhysRevA.1.1586,PRA
10.1103/PhysRevA.1.561,PRA
10.1103/PhysRevA.1.395,PRA
10.1103/PhysRevA.1.14,PRA
10.1103/PhysRevA.1.1542,PRA
10.1103/PhysRevA.1.1424,PRA
10.1103/PhysRevA.1.286,PRA
10.1103/PhysRevA.1.834,PRA
10.1103/PhysRevA.1.905,PRA
10.1103/PhysRevA.1.1330,PRA
10.1103/PhysRevA.1.1536,PRA
10.1103/PhysRevA.1.1290,PRA
10.1103/PhysRevA.1.803,PRA
10.1103/PhysRevA.1.27,PRA
10.1103/PhysRevA.1.750,PRA
10.1103/PhysRevA.1.1563,PRA
10.1103/PhysRevA.1.383,PRA
10.1103/PhysRevA.1.1322,PRA
10.1103/PhysRevA.1.952,PRA
10.1103/PhysRevA.1.1356,PRA
10.1103/PhysRevA.1.1708,PRA
10.1103/PhysRevA.1.1294,PRA
10.1103/PhysRevA.1.1612,PRA
10.1103/PhysRevA.1.957,PRA
10.1103/PhysRevA.1.1048,PRA
10.1103/PhysRevA.1.7,PRA
10.1103/PhysRevA.1.590,PRA
10.1103/PhysRevA.1.1642,PRA
10.1103/PhysRevA.1.1599,PRA
10.1103/PhysRevA.1.1416,PRA
10.1103/PhysRevA.1.1626,PRA
10.1103/PhysRevA.1.318,PRA
10.1103/PhysRevA.1.1272,PRA
10.1103/PhysRevA.1.1730,PRA
10.1103/PhysRevA.1.659,PRA
10.1103/PhysRevA.1.878,PRA
10.1103/PhysRevA.1.39,PRA
10.1103/PhysRevA.1.1109,PRA
10.1103/PhysRevA.1.721,PRA
10.1103/PhysRevA.1.841,PRA
10.1103/PhysRevA.1.968,PRA
10.1103/PhysRevA.1.1705,PRA
10.1103/PhysRevA.1.1712,PRA
10.1103/PhysRevA.1.1261,PRA
10.1103/PhysRevA.1.1410,PRA
10.1103/PhysRevA.1.1615,PRA
10.1103/PhysRevA.1.644,PRA
10.1103/PhysRevA.1.1647,PRA
10.1103/PhysRevA.1.1672,PRA
10.1103/PhysRevA.1.1022,PRA
10.1103/PhysRevA.1.755,PRA
10.1103/PhysRevA.1.990,PRA
10.1103/PhysRevA.1.209,PRA
10.1103/PhysRevA.1.1018,PRA
10.1103/PhysRevA.1.314,PRA
10.1103/PhysRevA.1.411,PRA
10.1103/PhysRevA.1.1467,PRA
10.1103/PhysRevA.1.1631,PRA
10.1103/PhysRevA.1.1553,PRA
10.1103/PhysRevA.1.975,PRA
10.1103/PhysRevA.1.536,PRA
10.1103/PhysRevA.1.250,PRA
10.1103/PhysRevA.1.241,PRA
10.1103/PhysRevA.1.321,PRA
10.1103/PhysRevA.1.1132,PRA
10.1103/PhysRevA.1.1243,PRA
10.1103/PhysRevA.1.1837,PRA
10.1103/PhysRevA.1.1517,PRA
10.1103/PhysRevA.1.1201,PRA
10.1103/PhysRevA.1.1406,PRA
10.1103/PhysRevA.1.1006,PRA
10.1103/PhysRevA.1.735,PRA
10.1103/PhysRevA.1.497,PRA
10.1103/PhysRevA.1.59,PRA
10.1103/PhysRevA.1.1843,PRA
10.1103/PhysRevA.1.1504,PRA
10.1103/PhysRevA.1.966,PRA
10.1103/PhysRevA.1.1750,PRA
10.1103/PhysRevA.1.848,PRA
10.1103/PhysRevA.1.1257,PRA
10.1103/PhysRevA.1.45,PRA
10.1103/PhysRevA.1.819,PRA
10.1103/PhysRevA.1.1567,PRA
10.1103/PhysRevA.1.122,PRA
10.1103/PhysRevA.1.1220,PRA
10.1103/PhysRevA.1.1662,PRA
10.1103/PhysRevA.1.1498,PRA
10.1103/PhysRevA.1.1120,PRA
10.1103/PhysRevA.1.1288,PRA
10.1103/PhysRevA.1.1089,PRA
10.1103/PhysRevA.1.1162,PRA
10.1103/PhysRevA.1.1592,PRA
10.1103/PhysRevA.1.1268,PRA
10.1103/PhysRevA.1.1358,PRA
10.1103/PhysRevA.1.513,PRA
10.1103/PhysRevA.1.217,PRA
10.1103/PhysRevA.1.1674,PRA
10.1103/PhysRevA.1.24,PRA
10.1103/PhysRevA.1.1819,PRA
10.1103/PhysRevA.1.1150,PRA
